'[aeiouy]'	866,1184
'[-+*!|&^~/%\\=<>\\[\\]{}(),.:]'	1247
'.*([sS][0-9]{2}[eE][0-9]{2}).*'	1489
'^0 \\w+ [01]\\.[0-9]* \\?\\s*$'	1248
'([:][ ]*)([/])(.*)([/][ismx]*)'	1354
u'^VERSION\\s*=\\s*[\\\'"]{1,3}'	689
'AC_INIT[(][^,]*,\\s+([^)]*)[)]'	1520
'([^,(\\s]+[.]spacesaver[(][)])'	356
'/[*]+(?:[^*]+|[*]+[^/*])*[*]+/'	1023
'http[s]*:.*youtube.com/watch.*'	1285
'dir[\\n\\r]+(?P<revision>\\d+)'	356
'^.+? (.*) (\\d+) ([+-]\\d+).*$'	599
'&#(?:[0-9]+|[xX][0-9a-fA-F]+);'	330
'\\s*?- Method:\\s*(\\S*)[(].*$'	1007
u'Size ([\\.\\d]+)\xa0([GMK])iB'	1557
'version[ \\t]+([^ \\t\\r\\n]+)'	1252
'(?P<num>\\d+)(?P<unit>[wdhms])'	1571
'[-+*!&|^~/%\\=<>\\[\\]{}(),.:]'	1247
'^\\s*class\\s+(\\w+)\\s*[:\\(]'	1248
'.*(\\.ipy|\\.ipynb|\\.py[w]?)$'	1580
'r\\d+\\s[|]\\s(.*)\\s[|]\\s200'	356
'(([^@]+)@)?([^:]+)(:([0-9]+))?'	1510
'^([><]*\\d+)\\.\\.([><]*\\d+)$'	1302
'ALT=[\'"]?([\\w\\d\\s]*)[\'"]?'	1248
'-?\\d+(?:\\.\\d+)?(?:[eE]\\d+)?'	1555
'([!=]=\\s*None)|(None\\s*[!=]=)'	1054
'(.*)([\\(\\[]([0-9]+)[\\]\\)])$'	506
'([.#])((?:[^ \\t\\.#]|\\.\\.)+)'	338
'cdef\\s*class\\s*(\\w+)\\s*[(:]'	407
'[\\-]{5}END CERTIFICATE[\\-]{5}'	1315
'\\s*(?P<a>[\\+\\-\\*/\\=]+)\\s*'	1247
'revision[ \\t]+([^ \\t\\r\\n]+)'	1252
'(src|href)\\=([\\\'"]?)/?files/'	1580
'value=[\\\'"]([^\\\'"]+)[\\\'"]'	966
'[^\\s]*?[\'|"].*?[\'|"]|[^\\s]+'	560
'\\s*(([\\\'"])\\2)\\s*([},=]|$)'	727
'v([1-9][0-9]*)([if][1-9][0-9]*)'	1244
'(<([a-z0-9\\:\\-_]+)\\s+[^>]+>)'	1326
'st([xy]).b tcc__([rf][0-9]*h?)$'	157
'[0-9]{4}/[10]?[0-9]/[0-3]?[0-9]'	44
'(.+_id|id)([mp]?\\d+)((?:-bb)?)'	241
'(?m)^[\\t ]*/\\* *\\.\\. .*?\\n'	356
'^(?P<op>=|[<>!]=?)?(?P<ver>.*)$'	1025
'[ _\\.-]+cd[ _\\.-]*([0-9a-d]+)'	1469
'^[ \t]*(?i)end script(?i)[ \t]*$'	1591
'([\\+\\?\\(\\)\\[\\]\\*\\.\\\\])'	1384
'.*Video: .+, (\\d+)x(\\d+)[, ].*'	53
'libbcc_([A-Z_]+)\\s*:=\\s*([01])'	1116
'^Synset\\([\'"]([^\\)]*)[\'"]\\)'	1230
'^[ ]{4,7}((\\d+\\.)|[*+-])[ ]+.*'	236
'^([0-9a-f]{2}[:]){5}[0-9a-f]{2}$'	1353
'H([FOP])([A-Z]{3})[A-Z]*:(.*)\\Z'	80
'.+ at (.+) line ([0-9]+)[,\\.].*'	498
'^\\s*?([*]|/\\*\\*)(?P<line>.*?)'	706
'zc.buildout(-\\S+)?[.]egg(-link)?'	313
'([a-z]+)=(".*?"|[^,]*)(?:\\Z|, *)'	1495
'<[wc](?: [^>]*){0,1}>(.*?)</[wc]>'	1248
'(\\d{1,2}) (\\d{1,2})[ ]?(\\d{4})'	1113
'(.+)[.](proto|impl|init|cleanup)$'	1621
'^[@]?[a-zA-Z0-9][a-zA-Z0-9_\\.]*$'	1118
'(?P<NCName>[a-zA-Z_](\\w|[_.-])*)'	1500
'\\[\\[[Ii]mage:([^.]*)(.*?)\\]\\]'	1454
'\\(([0-9\\?]{4}(/[IVXLCDM]+)?)\\)'	1469
'("[^"]*"|0x[0-9A-Fa-f]{1,4}|\\d+)'	804
'([+*/\\%^\\&|-]|<<|>>|\\*\\*|//)='	1621
'[ \\t]*#indent[ \\t]*(?P<args>.*)'	53
'^\\s*#\\s*include\\s*["<]([^>"]+)'	557
'([^!]+)(?:!([^+-]+)?([+-]\\S+)?)?'	8
"\\\\(['`:*~\\\\[\\]{}@\\$+\\-.#])"	1247
'st([axyz]).b tcc__([rf][0-9]*h?)$'	157
'^-([a-z]*)\\|--([a-z]*) +([^ ].*)'	1618
'^[\\(\\[\\{]([a-zA-Z])[\\]\\}\\)]'	6
'^http://gatherer[.]wizards[.]com/'	771
'<[^>]* alt=[\'"]([^\'"]*)[\'"].*?>'	220
'/_ah/img/([-\\w]+)([=]*)([-\\w]+)?'	1004
'[IV]+$|\\bJr\\b\\.$|\\b(Sr)\\b\\.$'	182
'url\\([\'"]?(.*?)[\'"]?[\\)\\?\\#]'	1579
'VERSION\\s*=\\s["\\\'](.*?)["\\\']'	252
'([zZ])|([\\-\\+][0-9]{2}:[0-9]{2})'	1469
'^(?P<bytes>\\d+)(?P<unit>[gmkb]?)$'	826
'(\\S*)[-](\\d+\\.\\d+\\.*\\d*)\\S*'	975
'xlfcmp:(?P<version>\\d+([.]\\d+)+)'	356
'^[ ]{0,3}((\\d+\\.)|[*+-])[ ]+(.*)'	236
'(.*)[\r\n](.*)[\r\n](.*)[\r\n](.*)'	1488
'\\[(\\d+):(\\d\\d)([\\.:]\\d+|)\\]'	1431
'^[./]*resolve[Uu]id/([^/]*)/?(.*)$'	988
'^[@&]?[a-zA-Z0-9][a-zA-Z0-9_\\.]*$'	1118
'[ ]{0,3}\\[\\^([^\\]]*)\\]:\\s*(.*)'	1395
'<([wc](?: [^>]*){0,1}>)(.*?)</[wc]>'	1248
'([\\|\\{\\}\\\\\\.\\+\\[\\]\\(\\)])'	43
'(\\S+\\s*)[.]shape\\s*=[^=]\\s*(.+)'	356
'(\\S+)\\s*[.]\\s*type\\s*[(]\\s*[)]'	356
'(\\s*)([A-F0-9]*) /\\* ([^ ]+) \\*/'	820
'\\A\\s*----+[ ]*\n(.*)\n----+[ ]*\n'	1470
'/_ah/img/([-\\w:]+)([=]*)([-\\w]+)?'	1495
'<[^>]* term=[\'"]([^\'"]*)[\'"].*?>'	220
'([\\+-].\\d+.\\d+,[\\+-].\\d+.\\d+)'	1285
'(\\S+)\\s*[.]\\s*info\\s*[(]\\s*[)]'	356
'([A-Za-z_]+)\\s*(::|[-=]+>)\\s*(.+)'	1248
'\\>(?P<a>\\s+)(?P<b>[\\.\\,\\:\\;])'	1247
'(\\S+)\\s+(\\S+)\\s+([IOB])-?(\\S+)?'	1248
'(?<!\\\\)\\\\u([dD][0-9a-fA-F]{3,3})'	299
'[-d]  (setuptools|distribute)-[^-]+-'	313
'[0-9-]* [0-9:\\.]* [+-][0-9]*\\r?\\n'	1274
u'(?<!\\\\)(["\\\'])(.*?)(?<!\\\\)\\1'	304
'GL(_ES)?_VERSION(_ES_C[ML])?_\\d_\\d'	533
'\\#[\\s]*include[\\s]*[<"](\\S+)[">]'	635
'(?P<text>(\\w|[-])*[*?](\\w|[-*?])*)'	951
"(\\\\*)(['`:*~\\\\[\\]{}@\\$+\\-.#])"	1247
'(^build|[^/]+\\.egg-info|.*.py[co]$)'	884
'(?P<dtype>[AIJFED])(?P<width>[0-9]*)'	332
'<[^>]* title=[\'"]([^\'"]*)[\'"].*?>'	220
'(.*[.]so[.0-9]+)(.*[.]dylib)(.*[.]a)'	1249
'(\\*\\*)(?=\\S)([^\\r]*?\\S[*_]*)\\1'	888
'^((?:\\[?\\S+@[^$#%]+)[$#%])(.*\\n?)'	1555
'(\\S+)\\s+(\\S+)\\s+([BIO])-?(\\S+)?'	1248
'^(\\d+)\\W(\\w+)\\W(\\w+)[ \t]+(.*)$'	233
'<[^>]* label=[\'"]([^\'"]*)[\'"].*?>'	220
'\\s*crt\\s*[=]\\s*(?P<path>.*)/crt1.o'	356
'\\s*[,/&.]\\s*|\\s+and\\s+|\\s{2,}|\n'	1190
'[ \t]+([A-Z0-9]+) \\/\\* .+ \\*\\/,\n'	289
'distribute( version)? \\d+[.]\\d+\\S*'	313
'(?P<pbs>\\\\*)(?P<escChar>\\\\[iIcC])'	866
'^\\\\[a-zA-Z]+[ ]?|^\\\\[^a-zA-Z][ ]?'	899
'(/[\\w/]*)|([^/ ][^: ]*)(:(\\d+)){,1}'	897
'(.+)[-_](\\d+)\\.(\\d+)\\.(\\d+)(\\w?)'	318
'[ \t]+(modified|deleted|new file): +.+'	1540
'(?:Default-Start|chkconfig):\\s*[2345]'	944
'ATLAS_(?P<version>\\d+[.]\\d+[.]\\d+)_'	356
'.*:(?P<line>\\d+)[ \t]+(?P<message>.*)'	1326
'([^%]|^)\\\\makeindex(\\[([\\w]+)\\])?'	31
'(?<![\\(\\[])(http://[^\\s\'"\\]\\)]+)'	200
'(<[^>]*?href=["\']|http://[^"\' \\t]+)'	245
'^([a-z]+)(\\*?)(\\d)([a-z]*)([>\\.]?)$'	1248
"^(\\S+) == (u?'[^']*'|\\([0-9, ]+\\))$"	220
u'[-+]?[0-9]+(\\.[0-9]+)?(e[-+]?[0-9]+)?'	55
'goog\\.require\\([\'"]([^\\)]+)[\'"]\\)'	168
'\\s*?([a-z]+(?:-[a-z]+)*):[ \\t]*(.*?);'	782
'<[Tt]d class=AgendaText>([^<]+)</[Tt]d>'	126
'^(https?://)?(?P<host>[^:]+)(:[0-9]+)?$'	420
'goog\\.provide\\([\'"]([^\\)]+)[\'"]\\)'	168
'^([0-9a-fA-F]{2}[:-]){5}[0-9a-fA-F]{2}$'	1353
'--[0-9]+-- ([^(:]*) \\((0x[0-9a-f]+)\\)'	1007
'[QA]?[:.]?\\d?\\d[:;.]\\d\\d[:;.]\\d\\d'	1190
'(%(\\([^\\)]+\\))?([\\d\\.]+)?[a-zA-Z])'	200
'[\\n]*[\\-]{5}BEGIN CERTIFICATE[\\-]{5}'	1315
'&(#?[xX]?(?:[0-9a-fA-F]+;|\\w{1,32};?))'	1580
"\\s*SELECT\\s+.+?\\s+FROM\\s+[']?(\\w+)"	284
'(?i)(?<![A-Z])E([ABCD]X|[SD]I)(?![A-Z])'	1580
'[igpv\\-][fpn\\-][pob\\-][3\\-][ap\\-]$'	1248
'^([A-Z])/([^\\(]+)\\(([^\\)]+)\\): (.*)$'	1505
'([0-9]+)\t[+-][0-9]+\t([0-9]+)\t([0-9]+)'	767
'[-d]  (setuptools|distribute)-\\S+[.]egg'	313
'[^#]*(\\S+)([ \\*]+)(\\S+)\\s*\\([^\\)]*'	413
'([d-]  )?(setuptools|distribute)-\\S+-py'	313
'\\*(fore|back)ground:[ ]*(#[A-Za-z0-9]*)'	1365
'(?P<whitespace>[ \n]*)(?P<entry>[^ \n]+)'	623
'query ([\\w ]*\\w+)[ \r\n]+- ([\\w /,]+)'	506
'distribute-\\d+[.]\\d+\\S*-py\\d.\\d.egg'	313
'([0-9]+)[ \t]*([<>][=]?|=)[ \t]*([0-9]+)'	557
'^([0-1][0-9]|[2][0-3]|[0-9]):[0-5][0-9]$'	826
'[ ]*\\*color([0-9]*):[ ]*(#[A-Za-z0-9]*)'	1365
'> ([0-9]*):([0-9]*)-([0-9]*) ([+-]) (.*)'	767
'(\\S+)\\s*[.]\\s*is_f_array\\s*[(]\\s*[)]'	356
'(\'[^\']\'|[-=]+>|"[^"]+"|\'[^\']+\'|\\|)'	1248
'(.+)[-_](\\d+)\\.(\\d+)\\.(\\d+)\\.(\\d+)'	318
'^(.*)/__pycache__/(.*)\\.(.*)(\\.py[oc])$'	1226
'%\\((\\w+)\\)(?:s|[\\d]*d|\\d*.?\\d*[fg])'	1258
'^([0-9a-fA-F]{2}[:\\-]){6}[0-9a-fA-F]{2}$'	1353
'-?[0-9]+,-?[0-9]+([ ]+-?[0-9]+,-?[0-9]+)*'	729
'^#\\s*cython\\s*:\\s*((\\w|[.])+\\s*=.*)$'	1621
'(\\S+)\\s*[.]\\s*is_c_array\\s*[(]\\s*[)]'	356
'(^|\\s+|[^\\\\])@([a-zA-Z_][a-zA-Z0-9_]*)'	44
'PACKAGE_VERSION *= *[\'"]([0-9.]+)["\'].*'	1007
'([^\\:])\\:([a-zA-Z_0-9]*)(\\s*)=\\>(\\s*)'	1025
'^(?P<area>[17]\\d\\d\\d)(?P<station>\\d+)$'	174
'^[ >]+ +(?P<name>[^ ]+) +(?P<value>[^ ]+)$'	439
'\\d+[/-]\\d+[/-]\\d+ \\d+:\\d+:\\d+\\.\\d+'	1488
'(\\s*\\t*max_filesize)\\=(\\d+[kKMmGgTt]?)'	560
'(?i)(?:.+?://)?(?:www[\\d]*\\.)?([^/:#?]*)'	200
'(?:[^,\\s])(\\s*)(?:[-+*/|!<=>%&^]+)(\\s*)'	1025
'[ \\t]*([^<>\\s]+?)[ \\t]*<p="([^"]*"?)"/>'	1248
'((\\([^\\)]+\\))?([\\d\\.]+)?[a-zA-Z])(.*)'	200
'event-str ([^ ]+) ([^ ]+) ([^ ]+) ([0-9]+)'	1216
'(.+)[-_](\\d\\d\\d\\d)-?(\\d\\d)-?(\\d\\d)'	318
'\\s*(([\\\'"])(.*?[^\\\\])\\2)\\s*([},=]|$)'	727
'[uU]?[rR]?(\\"\\"\\"|\\\'\\\'\\\'|\\"|\\\')'	1248
'(\\d+\\.\\d+\\.\\d+)[T\\.](\\d+(\\.\\d+)*)$'	1025
'^/lib/modules/(2\\.[23456]\\.[0-9]+[^/]*?)/'	1226
'^==== ([^#]+)#(\\d+) ==([AMD])== (.*) ====$'	1426
'event-int ([^ ]+) ([^ ]+) ([0-9]+) ([0-9]+)'	1216
'\\s*([^\\\'"\\s{},=][^{},=]*?)\\s*([},=]|$)'	727
'[\\-]{5}END( RSA| DSA)? PRIVATE KEY[\\-]{5}'	1315
'^/usr(?:/share)?/man/man[^/]+/(.+)\\.[1-9n]'	1226
'^http://www.justin.tv/([a-zA-Z0-9_]+)[^/]*$'	200
'(\\S+\\s*[(].+),\\s*savespace\\s*=.+\\s*[)]'	356
'name="base\\.version" value="([0-9.]+)[^"]*"'	1057
'(\\S+)\\s*[.]\\s*isbyteswapped\\s*[(]\\s*[)]'	356
'[ \\t\\r\\n]*(?:(?:#[^\\n]*)?\\r?(?:$|\\n))?'	55
'(\n\\[\\[[a-z][a-z][\\w-]*:[^:\\]]+\\]\\])+$'	1454
'^\\s*-\\s*[Ee]xit.[Cc]ode\\s*=\\s*(.*?)\\s*$'	1205
'\\$\\{([_a-zA-Z][_a-zA-Z0-9]+)(\\?[^}]+)?\\}'	1495
'url\\([\\\'"]?([^\\s)]+\\.[a-z]+)[\\\'"]?\\)'	1240
'(\\S+)\\s*[.]\\s*new\\s*[(]\\s*(\\S+)\\s*[)]'	356
'(?P<who>[ugo]+)(?P<op>[-+])(?P<what>[rwx]+)$'	1580
'^([a-zA-Z0-9-]-)*force-([a-zA-Z0-9])+[.]cmd$'	119
'\\s*?([a-z]+(?:-[a-z]+)*)(?::[ \\t]*(.*?))?;'	782
'[^#]*(\\S+)([ \\*]+)(\\S+)\\s*\\([^\\)]*\\);'	413
'[-+]?(\\d+(\\.\\d*)?|\\.\\d+)([eE][-+]?\\d+)?'	380
'^(.+?)[ \\._\\-]\\[?([0-9]+)x([0-9]+)[^\\/]*$'	506
'^(ip_tables|iptable_filter|iptable_nat)[ \\t]'	826
'ATLAS version (?P<version>\\d+[.]\\d+[.]\\d+)'	356
'^[-+]\\s+\\([^\\)]+\\)\\s+[A-Za-z0-9_]+[^;]*$'	1426
'(.*?)(?:\\.(\\d+))?(([-+]\\d{1,2}):(\\d{2}))?$'	425
'(?P<a>[\\<\\>\\!\\=])\\s+(?P<b>[\\<\\>\\!\\=])'	1247
'(?i)(?:.+?://)?(?:www[\\d]*\\.)?([^#]*[^#/])/?'	200
'(\\S+)\\s*[.]\\s*togglebyteorder\\s*[(]\\s*[)]'	356
'^\\(?(\\d{3})\\)?[- .]?(\\d{3})[- .]?(\\d{4})$'	228
'^==== ([^\\s]+) \\(([^\\)]+)\\) ==([ACIMR])==$'	1426
'[a-zA-Z_]+(@[0-9]+)?|[0-9]+(\\.[0-9]+)?|[^ \n]'	533
'([# ]*?)([a-zA-Z0-9_]+)( +)([a-zA-Z0-9_]+)(.*)'	407
'([^=]+)=(\\w+(?:[.]\\w+)*):(\\w+(?:[.]\\w+)*)$'	313
'(\\w+(?:/\\w+)?|[-=]+>|"[^"]+"|\'[^\']+\'|\\|)'	1248
'(([a-zA-Z_]+[0-9_]*)|([\\)\\]])+)((\\.)|(->))$'	626
'(\\{[_a-zA-Z][^{}]*(?:\\{[^{}]*\\}[^{}]*)*\\})'	1268
'range ([^ ]+) ([^ ]+) ([^ ]+) ([0-9]+) ([0-9]+)'	1216
'((?P<hquote>[\\\'"])(?P<htext>.+?)(?P=hquote))|'	190
'\\[commit=(\\d\\d\\d\\d[-/]\\d\\d[-/]\\d\\d)\\]'	173
u'[ \\t]*--[ \\t]*|__[ \\t]*|_[ \\t]+(_[ \\t]+)*'	782
'([\\$\\^\\*\\+\\.\\?\\{\\}\\[\\]\\(\\)\\|\\\\])'	53
'^\\s*([tlrbhwxy])\\s*([!\\?\\*])\\s*(\\d*)\\s*$'	498
'\\d+|>>|<<|[<>!=]=|&&|\\|\\||[-+*/%^&<>?:|!()n]'	782
'([!=]=\\s*(True|False))|((True|False)\\s*[!=]=)'	1054
'^(.*) ?\\[([^ ]*) \\+(0x[0-9A-F]{1,16})\\](.*)$'	1007
'^\\x1b\\[0m(.*?)\\x1b\\[0?m[:-](\\d+)([:-])(.*)'	407
'^[ \\t]*LOG[ \\t]*=[ \\t]*(?:(?:Y(?:ES)?)|TRUE)'	534
'^(\\d+) \\. (\\d+) (\\. (\\d+))? ([ab](\\d+))?$'	1580
'(\\S+)\\s*[.]\\s*repeat\\s*[(]\\s*(\\S+)\\s*[)]'	356
'ESXi (\\d)+\\.(\\d)+\\.(\\d)+[ ]+build-([\\d]+)'	1381
'(\\S+)\\s*[.]\\s*setimag\\s*[(]\\s*(\\S+)\\s*[)]'	356
'\\s*([+-]?)([^\\s\\(\\)<>"\\\'\\-=\\[\\],]+)\\s*'	1248
'^(\\d+)(?:([yzafpnumcdhkKMGTPEZY])(i)?)?([Bb])?$'	53
'(\\S+)\\s*[.]\\s*setreal\\s*[(]\\s*(\\S+)\\s*[)]'	356
'(\\s*[\\w\\W]*?(?:\\.(\\s|$)|[\\n][\\t ]*[\\n]))'	1087
'(^(\x00|\n|\r| |:|<)|[\x00\n\r\x80-\xff]+|[ ]+$)'	585
'(^\\(?(\\d{3})\\)?[- .]?(\\d{3})[- .]?(\\d{4})$)'	228
'^((?:[^-]+|-(?![0-9]))+)-([0-9][^-]*)(?:-(.*))?$'	1491
'macro\\s+([a-zA-Z0-9_]+)\\s*\\(([^)]*)\\)\\s*\\n'	534
'<script\\s*src=[\'"](.*)\\.js[\'"]>\\s*</script>'	1007
'type\\s*[(]([^)]*)[)]\\s+(?:is|==)\\s+(.*?float)'	356
'version\\s*=\\s*[\'"](?P<version>[\\d\\.]+)[\'"]'	564
'[ ]*(/\\*\\*\\s|\\*/|\\B\\*\\s|//!)(?P<line>.*?)'	706
'[\\t !"#$%&\\\'()*\\-/<=>?@\\[\\\\\\]^_`{|},.:]+'	1340
'play ([\\w -:]*\\w+)[ \r\n]+- ([\\w /:,\\(\\)]+)'	506
'([+-])?(?:(?:(\\d?\\d):)?(\\d?\\d):)?(\\d?\\d)\\Z'	873
'([NS])(\\d\\d)_(\\d{6})([EW])(\\d\\d\\d)_(\\d{6})'	1397
'([a-zA-Z][a-zA-Z]|[iIxX]-([a-zA-Z])+)(-[a-zA-Z])*'	1076
'^(.*) ?\\[([^ ]*) \\+(0x[0-9a-fA-F]{1,8})\\](.*)$'	1007
'const\\s+([a-zA-Z0-9_]+)\\s*=\\s*([^;\\n]+)[;\\n]'	534
'(?P<group>[^,]+?)[.](?P<name>.+?):(?P<value>\\d+)'	440
'.*[sS][0-9]{2}[eE][0-9]{2}.*\\.(mkv|avi|mpg|mp4)$'	1489
'([\\-]?\\d*)\\s*([A-Za-z]+([\\-@]\\d*[A-Za-z]+)?)'	1288
'(\\S+)\\s*[.]\\s*setshape\\s*[(]\\s*(\\S+)\\s*[)]'	356
'.*\\brequire\\s*\\(?([\\\'\\"])([\\w._-]+)\\1\\)?'	727
'\\w+([-+.]\\w+)*@\\w+([-.]\\w+)*\\.\\w+([-.]\\w+)*'	47
'^(-?(0|[1-9][0-9]*)(\\.[0-9]*)?([eE][+-]?[0-9]+)?)'	1181
'(?im)<title>Dailymotion\\s*[\\-:]\\s*(.+?)</title>'	386
"<[fF][oO][nN][tT][ ]*[sS][iI][zZ][eE][ ]*='2'[ ]*>"	110
'^.*?([0-9/]{8}\\s+[0-9:]{8}):\\s+?([^:]+):\\s(.*)$'	1027
'^[$]?([A-Z]+)[$]?(\\d+)(:[$]?([A-Z]+)[$]?(\\d+))?$'	729
'(http://(?:www\\.)?s[ia]mplecd\\.\\w+/)(id|entry)/'	1569
'(....)-(..)-(..)T(..):(..):(..)....([+-])(..):(..)'	1116
'[\\n]*[\\-]{5}BEGIN( RSA| DSA)? PRIVATE KEY[\\-]{5}'	1315
'^(?:.:)?[^:]+:(\\d+): \\[([EWRCI]+)[^\\]]*\\] (.*)$'	640
"<\\w+[^>]*>|</\\w+>|[\\w\\']+|\\s+|[^\\w\\'\\s<>/]+"	55
'(zc.buildout|setuptools)( version)? \\d+[.]\\d+\\S*'	313
'(?s)(?<=\\n)([|][|].*?[|][|])(?=\\n[^|]|\\n[|][^|])'	138
'^#[ \\t\\*]*END[ \\t]+LICENSE[ \\t]+BLOCK[ \\t\\*]*'	119
u'^[ ]{0,3}(?P<key>[A-Za-z0-9._-]+):\\s*(?P<value>.*)'	1340
'\\d+/\\d+\\/\\d+\\s+([\x08House\x08|\x08Senate\x08])'	182
'C(\\d{2})(\\d{5})([NS])(\\d{3})(\\d{5})([EW])(.*)\\Z'	80
'([0-9a-zA-Z_.]+)-([0-9a-zA-Z_.]+)-py(\\d[.]\\d).egg$'	313
'http[s]?://[www\\.]?twitter\\.com/.+/status/([0-9]+)'	340
'^[\\s\\S]+?(?=[\\\\<!\\[_*`~$]|https?://| {2,}\\n|$)'	1580
'[ \t\r\x0c\x0b]*\n[ \t\r\x0c\x0b]*\n[ \t\r\x0c\x0b]*'	1248
'^\\w+([\\.-]?\\w+)*@\\w+([\\.-]?\\w+)*(\\.\\w{2,3})+$'	978
'([A-Za-z0-9_]+\\s+)+([*A-Za-z0-9_::]+)\\s*\\([^)]*\\)'	498
'(\\S+)\\s*[.]\\s*setimaginary\\s*[(]\\s*(\\S+)\\s*[)]'	356
'<![ \r\n\t]*(--([^\\-]|[\r\n]|-[^\\-])*--[ \r\n\t]*)>'	347
'MARIONETTE_HEAD_JS(\\s*)=(\\s*)[\'|\\"](.*?)[\'|\\"];'	1007
'^\\s*\\%\\s*include\\s+([\\"\\<])(.+?)([\\"\\>])(.*)$'	1580
'\\s*([bB]asic|[dD]igest)\\s+(?:[\\w]+="[^"]+",?\\s*)?'	1076
'MARIONETTE_CONTEXT(\\s*)=(\\s*)[\'|\\"](.*?)[\'|\\"];'	1007
'^(?:Doctest: )?([\\w\\.]+) \\.\\.\\. \\[([^\\]]+)\\]$'	122
'^(\\(*\\d+\\s*[<>=!]+\\s*\\d+\\)*\\s*(and|or)?\\s*)+$'	605
'[r][g][b][(]\\d{1,3}[,][ ]*\\d{1,3}[,][ ]*\\d{1,3}[)]'	1025
'^[|+` -]+[0-9]+:[0-9]+:[0-9]+:[0-9]+ ([a-zA-Z0-9!/]+)'	1051
'^[\\w]+\\.define_table\\(\\s*[\'"](?P<name>\\w+)[\'"]'	1247
'([0-9a-fA-F][0-9a-fA-F][:-]){2}[0-9a-fA-F][0-9a-fA-F]'	1361
'^\\s*\\#\\s*include\\s+([\\"\\<])(.+?)([\\"\\>])(.*)$'	1580
'\\s?["\']([a-zA-Z_"\'\\s\\d\\-\\.#=?!]+)["\']\\s+tset'	1215
'(\\d\\d?):(\\d\\d)(:(\\d\\d))? *([aApP]\\.?[mM]\\.?)?$'	497
'(zc.buildout|setuptools)-\\d+[.]\\d+\\S*-py\\d.\\d.egg'	313
'\\A[\\+\\-]?\\d+(?:W\\d+)?(?:T\\d+(?:Z|[+-]\\d+)?)?\\Z'	1571
'(?P<full>[0-9]+\\.(?P<decimal>[0-9]+?)0)(?P<type>[Dd])'	1274
'^(?P<area>[235]\\d)(?P<area2>\\d{4})(?P<station>\\d+)$'	174
'(<[\\s]*script[^>]*>[\\s\\S]*?<\\/[\\s]*script[\\s]*>)'	168
'\\A\\s*(?:\\.\\..*\n)*\\s*----+[ ]*\n(.*)\n----+[ ]*\n'	1470
'0x[0-9a-fA-F]+|[+-]?\\d+(\\.\\d+)?([eE][+-]\\d+)?|\\d+'	1247
'summary\\.php\\?cid=([A-Z0-9]+)&cycle=\\d+\\" ?>([^<]+)'	55
'\\A[\t ]*([\\w\\.\\/]+)\\:(([0-9]+))?(\\:([0-9]+))?\\:?'	649
'WARN: [\\w.]+/\\w+/[0-9.]+[ab][0-9]+/.*release.* exists'	566
'^([a-zA-Z0-9 :]*)!(.*)!(.*)!([<>].*)!([0-9]+)!([0-9]+)$'	12
'^(\\d{4})\\D?(0[1-9]|1[0-2])\\D?([12]\\d|0[1-9]|3[01])$'	1328
'[-+]?(?:\\d+(?:\\.\\d*)?|\\d*\\.\\d+)(?:[eE][-+]?\\d+)?'	758
'[a-fA-F0-9]{8}[-]([a-fA-F0-9]{4}[-]){3}[a-fA-F0-9]{12}$'	562
'\xd0\xbf\xd1\x83\xd1\x88\xd0\xba\xd0\xb8\xd0\xbd[e .\n]'	1122
'^(\\s+arrayObject\\w*\\s*=\\s*[(])[(]PyObject\\s*[*][)]'	356
'^\\s*(var\\s+)?[A-Za-z0-9_]+\\s*[=:]\\s*function\\s*\\('	1426
'(?P<repeat> *[(]?[ ,0-9]*[)]? *)(?P<dtype>[A-Za-z0-9.]*)'	356
'^\\s*_*version\\s*_*\\s*=\\s*["\\\']([^"\\\']+)["\\\'].*'	1621
'interface[\\s]*\\[[^\\]]*Conditional=([\\_0-9a-zA-Z&|]*)'	1300
'^Unit +([01])- \\[ *(-?\\d+)- *(-?\\d+)\\] \\[(\\w+)\\]$'	1302
'ed2k://\\|file\\|([^|]*)\\|(\\d+)\\|([a-fA-F0-9]{32})\\|'	1569
'#date(\\s+(\\S+))?\\s+(\\d\\d\\d\\d[-/]\\d\\d[-/]\\d\\d)'	173
'(--(?P<key>\\S*)[=](?P<value>\\S*))|(--(?P<option>\\S*))'	1459
'^\\s*Attribute [Nn]ame\\s+Tag\\s+Type\\s+Description\\s*$'	1432
'^(?P<neg>-?)(?P<Y>\\d{4,})(?P<tz>Z|([-+]\\d\\d:\\d\\d))?$'	1076
'^[^\'"]*[\'"]([^\'"]*)[\'"]\\s*:\\s*[\'"]([^\'"]*)[\'"].*$'	1247
'^(?P<key>[^ =]+) *= *[\\"\']?(?P<value>[^\\"\']*)[\\"\']?$'	826
'^(.+?)[ \\._\\-][Ss]([0-9]+)[\\.\\- ]?[Ee]([0-9]+)[^\\/]*$'	506
'^\\(([0-9a-fx]+),([0-9a-fx]+)\\) (.*) ([US/]+) ([1-9n-]+)$'	1432
'^\\s+Table\\s+C.[0-9A-Za-z-]+\\s*[-]*\\s*([A-Z/\\s-]+)\\s*$'	1432
'([-+]?(?:\\d+(?:\\.\\d*)?|\\d*\\.\\d+))[dD]((?:[-+]?\\d+)?)'	356
